generosity,year,happiness_rank,happiness_score,economy,social_support,life_expectancy,freedom,corruption,dystopia,country_Denmark,region_Sub-Saharan Africa,region_Western Europe,LR_MAE,LR_MSE,LR_R_squared,RF_MAE,RF_MSE,RF_R_squared
0.34139,2015,3.0,7.527,1,1.36058,0.87464,0.87464,0.48357,2.49204,1,0,1,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.36171,2016,1.0,7.526,1,1.16374,0.79504,0.79504,0.44453,2.73939,1,0,1,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.355280488729477,2017,2.0,7.52199983596802,1,1.55112159252167,0.792565524578094,0.7506425,0.40077006816864,2.31370735168457,1,1,0,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.284,2018,3.0,7.555,1,1.59,0.868,0.683,0.408,2.128207443321228,1,1,0,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.252,2019,2.0,7.6,1,1.573,0.996,0.592,0.41,2.1345634643707276,1,1,0,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.066201776,2020,27.45,7.645599842,10,0.955990791,72.40250397,0.951444268,0.168489456,1.972316742,1,0,1,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.03,2021,27.1,7.62,10,0.954,72.7,0.946,0.179,2.43,1,0,1,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.32790561125183104,2022,2.0,7.549050008010863,1,1.4524270452098844,0.8902112719564439,0.7506425,0.32760838737607006,2.5259402780838007,1,1,0,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.134,2023,27.45,7.586,10,0.954,71.25,0.934,0.196,1.778,1,1,0,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
0.2236101052,2024,5.4,7.583,5,1.2923566184,33.148832642,0.75959854515,0.36019314725000007,1.881,1,1,0,1.1684256088259053,1.73330246016317,0.9037054188798239,2.2866666666666666,6.285666666666667,0.6507962962962963
